mu_polymer	gamma_coefficient	alpha_scaling	volume_eigenvalue_cutoff	target_scale_m	rho_pred_j_m3	rho_obs_j_m3	ratio_pred_to_obs	log10_ratio
0.15	3.0	0.2	5.0	1e-15	1.54680936581255966e+118	5.28313811725251248e-10	2.92782306932565194e+127	1.27466544828418719e+02
0.15	3.0	0.2	10.0	1e-15	2.94802530965741379e+130	5.28313811725251248e-10	5.58006481040198429e+139	1.39746639243137679e+02
0.15	3.0	0.2	20.0	1e-15	1.45983557127113598e+163	5.28313811725251248e-10	2.76319781703969734e+172	1.72441411977125540e+02
0.2	0.3	0.05	5.0	1e-15	6.72530603863982380e+117	5.28313811725251248e-10	1.27297562346094940e+127	1.27104820087316057e+02
0.2	0.3	0.05	10.0	1e-15	7.44809386462771702e+130	5.28313811725251248e-10	1.40978594527093036e+140	1.40149153176595235e+02
0.2	0.3	0.05	20.0	1e-15	7.01740479420524386e+161	5.28313811725251248e-10	1.32826449705892479e+171	1.71123284564621940e+02
0.2	0.3	0.1	5.0	1e-15	7.31442650663358388e+117	5.28313811725251248e-10	1.38448519502977515e+127	1.27141288315985349e+02
0.2	0.3	0.1	10.0	1e-15	8.37611412593849312e+130	5.28313811725251248e-10	1.58544295834053991e+140	1.40200150621434972e+02
0.2	0.3	0.1	20.0	1e-15	8.16063258026508167e+161	5.28313811725251248e-10	1.54465630069671653e+171	1.71188831860255220e+02
0.2	0.3	0.2	5.0	1e-15	8.65218669065300343e+117	5.28313811725251248e-10	1.63769837142788133e+127	1.27214233917151503e+02
0.2	0.3	0.2	10.0	1e-15	1.05934590878847583e+131	5.28313811725251248e-10	2.00514520967963465e+140	1.40302145829065438e+02
0.2	0.3	0.2	20.0	1e-15	1.10361739681887990e+162	5.28313811725251248e-10	2.08894292052469443e+171	1.71319926573230759e+02
0.2	1.0	0.05	5.0	1e-15	6.72530603863982380e+117	5.28313811725251248e-10	1.27297562346094940e+127	1.27104820087316057e+02
0.2	1.0	0.05	10.0	1e-15	7.44809386462771702e+130	5.28313811725251248e-10	1.40978594527093036e+140	1.40149153176595235e+02
0.2	1.0	0.05	20.0	1e-15	7.01740479420524386e+161	5.28313811725251248e-10	1.32826449705892479e+171	1.71123284564621940e+02
0.2	1.0	0.1	5.0	1e-15	7.31442650663358388e+117	5.28313811725251248e-10	1.38448519502977515e+127	1.27141288315985349e+02
0.2	1.0	0.1	10.0	1e-15	8.37611412593849312e+130	5.28313811725251248e-10	1.58544295834053991e+140	1.40200150621434972e+02
0.2	1.0	0.1	20.0	1e-15	8.16063258026508167e+161	5.28313811725251248e-10	1.54465630069671653e+171	1.71188831860255220e+02
0.2	1.0	0.2	5.0	1e-15	8.65218669065300343e+117	5.28313811725251248e-10	1.63769837142788133e+127	1.27214233917151503e+02
0.2	1.0	0.2	10.0	1e-15	1.05934590878847583e+131	5.28313811725251248e-10	2.00514520967963465e+140	1.40302145829065438e+02
0.2	1.0	0.2	20.0	1e-15	1.10361739681887990e+162	5.28313811725251248e-10	2.08894292052469443e+171	1.71319926573230759e+02
0.2	3.0	0.05	5.0	1e-15	6.72530603863982380e+117	5.28313811725251248e-10	1.27297562346094940e+127	1.27104820087316057e+02
0.2	3.0	0.05	10.0	1e-15	7.44809386462771702e+130	5.28313811725251248e-10	1.40978594527093036e+140	1.40149153176595235e+02
0.2	3.0	0.05	20.0	1e-15	7.01740479420524386e+161	5.28313811725251248e-10	1.32826449705892479e+171	1.71123284564621940e+02
0.2	3.0	0.1	5.0	1e-15	7.31442650663358388e+117	5.28313811725251248e-10	1.38448519502977515e+127	1.27141288315985349e+02
0.2	3.0	0.1	10.0	1e-15	8.37611412593849312e+130	5.28313811725251248e-10	1.58544295834053991e+140	1.40200150621434972e+02
0.2	3.0	0.1	20.0	1e-15	8.16063258026508167e+161	5.28313811725251248e-10	1.54465630069671653e+171	1.71188831860255220e+02
0.2	3.0	0.2	5.0	1e-15	8.65218669065300343e+117	5.28313811725251248e-10	1.63769837142788133e+127	1.27214233917151503e+02
0.2	3.0	0.2	10.0	1e-15	1.05934590878847583e+131	5.28313811725251248e-10	2.00514520967963465e+140	1.40302145829065438e+02
0.2	3.0	0.2	20.0	1e-15	1.10361739681887990e+162	5.28313811725251248e-10	2.08894292052469443e+171	1.71319926573230759e+02
